date,no2,tropospheric_no2,o3
2021-06-08,0.00016246350315832645,,0.12482565020411693
2021-06-09,0.0002466940472947275,,0.12437321441596502
2021-06-10,0.00018479580316672724,,0.12127980808151537
2021-06-11,0.00014232289859440156,0.0001011839104411734,0.12013259013770691
2021-06-12,8.922019865503382e-05,5.2636507068158284e-05,0.1187957650339848
2021-06-13,0.00011775013621365283,8.182326864085988e-05,0.11525296799739898
2021-06-14,0.00016276866299361892,0.00012810919370735585,0.1133046302059166
2021-06-15,0.0001406234044703949,0.00010237788620417108,0.11586627895361577
2021-06-16,0.00010902119144555416,7.186323299547865e-05,0.11619245046070215
2021-06-17,0.0001375685283029641,0.00010075232920665826,0.12087414424309942
2021-06-18,0.00015549690691820718,0.00012015531921762036,0.1215963401004209
2021-06-19,0.00014939790541626034,0.000114987068366485,0.12493147006995442
2021-06-20,0.00022748581319480496,0.00019315924529566533,0.12426257900373049
2021-06-21,0.00045544590991130994,0.00042142171488843854,0.11427095263290946
2021-06-22,8.942330565144894e-05,5.6937964331309976e-05,0.11577137606083035
2021-06-23,7.133898063101598e-05,3.652393350806646e-05,0.1180047540229595
2021-06-24,0.00011027608830663486,7.641335156101801e-05,0.11685437013680301
2021-06-25,7.715671512116636e-05,4.169553706717845e-05,0.1176418919738524
2021-06-26,8.659576008842348e-05,4.8064171070432044e-05,0.11603399803231414
2021-06-27,9.452413318938991e-05,5.666453484532028e-05,0.1189599726035495
2021-06-28,9.598931000395203e-05,6.193107071425741e-05,0.12430599337390487
2021-06-29,9.78728485998664e-05,6.436052838129663e-05,0.12132719665274949
2021-06-30,0.00011746304851413545,,0.11587802790421645
2021-07-01,6.711368588839891e-05,3.0610672689319016e-05,0.12413578300533729
2021-07-02,0.00018181404710373783,0.00014806950406528677,0.12529626947479003
2021-07-03,7.052480821029118e-05,3.781041885014308e-05,0.12702293382956056
2021-07-04,7.978464954074696e-05,4.531618094878671e-05,0.1300734636920738
2021-07-05,0.0003296794484067643,0.0002932222471437853,0.1257454466181048
2021-07-06,9.249240777811526e-05,,0.12980157040903562
2021-07-07,0.00015395000139861086,0.00011366165452159341,0.13390891324718335
2021-07-08,0.00019996497837639074,0.00016209580662694868,0.1263059821567333
2021-07-09,9.455177427403778e-05,5.7267090271241646e-05,0.12347175240050663
2021-07-10,0.0001038493046359937,6.600070764612111e-05,0.12275326274985982
2021-07-11,0.00017182221732364004,0.0001339603350200755,0.1216449849394803
2021-07-12,0.00013531961516471017,9.728164170381149e-05,0.12218815508661271
2021-07-13,8.216233069328296e-05,4.442318040483143e-05,0.12131682293231667
2021-07-14,0.0004992998070304616,0.0004622038496947535,0.1220841283035967
2021-07-15,0.0001230347944051137,8.333621917466399e-05,0.12156976553785749
2021-07-16,0.00038316907671367067,0.0002711269995754268,0.12322117180263335
2021-07-17,0.0001353918234440243,9.825926400382582e-05,0.1231686415979809
2021-07-18,0.0001885481597055766,0.00015265784341010288,0.12089580255791647
2021-07-19,0.000582797442935301,0.00054840676460361,0.123763055519003
2021-07-20,0.00011738267944564277,8.153434666312164e-05,0.1210397254926902
2021-07-21,7.487926250029004e-05,3.753053358943617e-05,0.11930221382304086
2021-07-22,7.764246038448245e-05,3.774061266559323e-05,0.13528179377253113
2021-07-23,0.0004222191239270959,0.00038245778217763326,0.13163073840658385
2021-07-24,0.00039921057706613765,0.00035961058130662074,0.13122182879761116
2021-07-25,0.00041990860046814524,0.00038106362588079154,0.12938533246455786
2021-07-26,0.0004766078178472147,0.00044057456524752733,0.12307984542414956
2021-07-27,0.00017667195129759058,0.00014275203458507474,0.11991684305607517
2021-07-28,0.0001085492953422133,7.354014405609903e-05,0.12109678669844572
2021-07-29,0.0001175198094280967,8.170813680586305e-05,0.12174497042036381
2021-07-30,0.00036187445724716123,0.0003227777167057712,0.12177915822106915
2021-07-31,0.0005470400105646688,0.0005120113765119013,0.12401254084801393
2021-08-01,0.00010043933789452545,6.715798919261537e-05,0.11935448603874975
2021-08-02,0.00037887974228988303,0.00034328828233859675,0.1217242382470673
2021-08-03,0.00010148605072813676,6.388215316881332e-05,0.12462670977797297
2021-08-04,0.00013065401670176366,9.32109842734069e-05,0.12621782631984346
2021-08-05,0.0003535225539245234,0.00031633467073028705,0.12267830971030445
2021-08-06,9.395130990850607e-05,5.5476606504862163e-05,0.11899967925709824
2021-08-07,0.00036836670110760824,0.0003263525578476719,0.11953849328520647
